Country of Origin,Airline,Number of Countries,Number of Destinations,Countries Served,Main Airports Served
Austria,Austrian Airlines,47,121,"Albania, Armenia, Azerbaijan, Bahrain, Belarus, Bosnia and Herzegovina, Brazil, Bulgaria, Canada, China, Croatia, Cyprus, Czech Republic, Denmark, Egypt, Estonia, Finland, France, Georgia, Germany, Ghana, Greece, Hong Kong, Hungary, Iceland, India, Iran, Ireland, Israel, Italy, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Lithuania, Luxembourg, Malta, Mexico, Moldova, Montenegro, Morocco, Netherlands, Nigeria, North Macedonia, Norway, Oman, Poland, Portugal, Qatar, Romania, Russia, Saudi Arabia, Serbia, Seychelles, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sri Lanka, Sweden, Switzerland, Tanzania, Thailand, Tunisia, Turkey, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Uzbekistan","Albania: Tirana International Airport (TIA), Armenia: Zvartnots International Airport (EVN), Azerbaijan: Heydar Aliyev International Airport (GYD), Bahrain: Bahrain International Airport (BAH), Belarus: Minsk National Airport (MSQ), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Brazil: São Paulo/Guarulhos International Airport (GRU), Bulgaria: Sofia Airport (SOF), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), Croatia: Zagreb Airport (ZAG), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Egypt: Cairo International Airport (CAI), Estonia: Tallinn Airport (TLL), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), Georgia: Tbilisi International Airport (TBS), Germany: Frankfurt Airport (FRA), Ghana: Kotoka International Airport (ACC), Greece: Athens International Airport (ATH), Hong Kong: Hong Kong International Airport (HKG), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iceland: Keflavík International Airport (KEF), India: Indira Gandhi International Airport (DEL), Iran: Imam Khomeini International Airport (IKA), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Japan: Tokyo Haneda Airport (HND), Jordan: Queen Alia International Airport (AMM), Kazakhstan: Almaty International Airport (ALA), Kenya: Jomo Kenyatta International Airport (NBO), Kuwait: Kuwait International Airport (KWI), Latvia: Riga International Airport (RIX), Lebanon: Beirut–Rafic Hariri International Airport (BEY), Lithuania: Vilnius International Airport (VNO), Luxembourg: Luxembourg Airport (LUX), Malta: Malta International Airport (MLA), Mexico: Mexico City International Airport (MEX), Moldova: Chișinău International Airport (RMO), Montenegro: Podgorica Airport (TGD), Morocco: Mohammed V International Airport (CMN), Netherlands: Amsterdam Airport Schiphol (AMS), Nigeria: Murtala Muhammed International Airport (LOS), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Oman: Muscat International Airport (MCT), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Qatar: Hamad International Airport (DOH), Romania: Henri Coandă International Airport (OTP), Russia: Sheremetyevo International Airport (SVO), Saudi Arabia: King Abdulaziz International Airport (JED), Serbia: Belgrade Nikola Tesla Airport (BEG), Seychelles: Seychelles International Airport (SEZ), Singapore: Singapore Changi Airport (SIN), Slovakia: Bratislava Airport (BTS), Slovenia: Ljubljana Jože Pučnik Airport (LJU), South Africa: O. R. Tambo International Airport (JNB), South Korea: Incheon International Airport (ICN), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sri Lanka: Bandaranaike International Airport (CMB), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Tanzania: Julius Nyerere International Airport (DAR), Thailand: Suvarnabhumi Airport (BKK), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), Uganda: Entebbe International Airport (EBB), Ukraine: Boryspil International Airport (KBP), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Uzbekistan: Tashkent International Airport (TAS)"
Bahrain,Gulf Air,31,51,"Australia, Bahrain, Bangladesh, Egypt, France, India, Iraq, Jordan, Kuwait, Maldives, Oman, Pakistan, Saudi Arabia, Sri Lanka, Thailand, United Kingdom","Australia: Sydney Kingsford Smith Airport (SYD), Bahrain: Bahrain International Airport (BAH), Bangladesh: Shahjalal International Airport (DAC), Egypt: Cairo International Airport (CAI), France: Paris Charles de Gaulle Airport (CDG), India: Indira Gandhi International Airport (DEL), Iraq: Baghdad International Airport (BGW), Jordan: Queen Alia International Airport (AMM), Kuwait: Kuwait International Airport (KWI), Maldives: Velana International Airport (MLE), Oman: Muscat International Airport (MCT), Pakistan: Jinnah International Airport (KHI), Saudi Arabia: King Abdulaziz International Airport (JED), Sri Lanka: Bandaranaike International Airport (CMB), Thailand: Suvarnabhumi Airport (BKK), United Kingdom: London Heathrow Airport (LHR)"
Belgium,Brussels Airlines,42,90,"Albania, Armenia, Benin, Bosnia and Herzegovina, Brazil, Burkina Faso, Burundi, Cameroon, Canada, Congo Democratic Republic of, Congo Republic of, Côte d'Ivoire, Croatia, Democratic Republic of the Congo, Equatorial Guinea, Gambia, Ghana, Guinea, Kenya, Liberia, Malawi, Mali, Nigeria, Republic of the Congo, Rwanda, Senegal, Serbia, Sierra Leone, South Africa, Tanzania, Togo, Uganda, United Kingdom, United States, Zambia","Albania: Tirana International Airport (TIA), Armenia: Zvartnots International Airport (EVN), Benin: Cadjehoun Airport (COO), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Brazil: São Paulo/Guarulhos International Airport (GRU), Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA), Burundi: Bujumbura International Airport (BJM), Cameroon: Douala International Airport (DLA), Canada: Toronto Pearson International Airport (YYZ), Congo Democratic Republic of: N'djili Airport (FIH), Congo Republic of: Maya-Maya Airport (BZV), Côte d'Ivoire: Félix-Houphouët-Boigny International Airport (ABJ), Croatia: Zagreb Airport (ZAG), Democratic Republic of the Congo: N'djili Airport (FIH), Equatorial Guinea: Malabo International Airport (SSG), Gambia: Banjul International Airport (BJL), Ghana: Kotoka International Airport (ACC), Guinea: Conakry International Airport (CKY), Kenya: Jomo Kenyatta International Airport (NBO), Liberia: Roberts International Airport (ROB), Malawi: Lilongwe International Airport (LLW), Mali: Modibo Keita International Airport (BKO), Nigeria: Murtala Muhammed International Airport (LOS), Republic of the Congo: Maya-Maya Airport (BZV), Rwanda: Kigali International Airport (KGL), Senegal: Blaise Diagne International Airport (DSS), Serbia: Belgrade Nikola Tesla Airport (BEG), Sierra Leone: Lungi International Airport (FNA), South Africa: O. R. Tambo International Airport (JNB), Tanzania: Julius Nyerere International Airport (DAR), Togo: Lomé–Tokoin International Airport (LFW), Uganda: Entebbe International Airport (EBB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Zambia: Kenneth Kaunda International Airport (LUN)"
Canada,Air Canada,58,192,"Albania, Algeria, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, Bangladesh, Barbados, Belgium, Bermuda, Bolivia, Bosnia and Herzegovina, Brazil, British Virgin Islands, Bulgaria, Cambodia, Canada, Cayman Islands, Chile, China, Colombia, Costa Rica, Croatia, Cuba, Curaçao, Cyprus, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, French Guiana, French Polynesia, Germany, Greece, Guatemala, Guyana, Haiti, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Liberia, Lithuania, Luxembourg, Madagascar, Malaysia, Maldives, Malta, Martinique, Mauritius, Mexico, Moldova, Monaco, Mongolia, Montenegro, Morocco, Myanmar, Nepal, Netherlands, New Caledonia, New Zealand, Nicaragua, Nigeria, North Macedonia, Norway, Oman, Pakistan, Panama, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Saint Kitts and Nevis, Saint Lucia, Saint Martin, Saint Vincent and the Grenadines, Saudi Arabia, Senegal, Serbia, Seychelles, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sri Lanka, Suriname, Sweden, Switzerland, Taiwan, Tanzania, Thailand, Trinidad and Tobago, Tunisia, Turkey, Turks and Caicos Islands, Ukraine, United Arab Emirates, United Kingdom, United States, Uruguay, Uzbekistan, Venezuela, Vietnam, Zambia","Albania: Tirana International Airport (TIA), Algeria: Houari Boumediene Airport (ALG), Argentina: Ministro Pistarini International Airport (EZE), Armenia: Zvartnots International Airport (EVN), Aruba: Queen Beatrix International Airport (AUA), Australia: Sydney Kingsford Smith Airport (SYD), Austria: Vienna International Airport (VIE), Azerbaijan: Heydar Aliyev International Airport (GYD), Bahamas: Lynden Pindling International Airport (NAS), Bangladesh: Shahjalal International Airport (DAC), Barbados: Grantley Adams International Airport (BGI), Belgium: Brussels Airport (BRU), Bermuda: L.F. Wade International Airport (BDA), Bolivia: El Alto International Airport (LPB), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Brazil: São Paulo/Guarulhos International Airport (GRU), British Virgin Islands: Terrance B. Lettsome International Airport (EIS), Bulgaria: Sofia Airport (SOF), Cambodia: Phnom Penh International Airport (PNH), Canada: Toronto Pearson International Airport (YYZ), Cayman Islands: Owen Roberts International Airport (GCM), Chile: Arturo Merino Benítez International Airport (SCL), China: Beijing Capital International Airport (PEK), Colombia: El Dorado International Airport (BOG), Costa Rica: Juan Santamaría International Airport (SJO), Croatia: Zagreb Airport (ZAG), Cuba: José Martí International Airport (HAV), Curaçao: Curaçao International Airport (CUR), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Dominican Republic: Las Américas International Airport (SDQ), Ecuador: Mariscal Sucre International Airport (UIO), Egypt: Cairo International Airport (CAI), El Salvador: El Salvador International Airport (SAL), Estonia: Tallinn Airport (TLL), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), French Guiana: Cayenne-Félix Eboué Airport (CAY), French Polynesia: Faa'a International Airport (PPT), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Guatemala: La Aurora International Airport (GUA), Guyana: Cheddi Jagan International Airport (GEO), Haiti: Toussaint Louverture International Airport (PAP), Honduras: Toncontín International Airport (TGU), Hong Kong: Hong Kong International Airport (HKG), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iceland: Keflavík International Airport (KEF), India: Indira Gandhi International Airport (DEL), Indonesia: Soekarno–Hatta International Airport (CGK), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Jamaica: Norman Manley International Airport (KIN), Japan: Tokyo Haneda Airport (HND), Jordan: Queen Alia International Airport (AMM), Kazakhstan: Almaty International Airport (ALA), Kenya: Jomo Kenyatta International Airport (NBO), Kuwait: Kuwait International Airport (KWI), Latvia: Riga International Airport (RIX), Lebanon: Beirut–Rafic Hariri International Airport (BEY), Liberia: Roberts International Airport (ROB), Lithuania: Vilnius International Airport (VNO), Luxembourg: Luxembourg Airport (LUX), Madagascar: Ivato International Airport (TNR), Malaysia: Kuala Lumpur International Airport (KUL), Maldives: Velana International Airport (MLE), Malta: Malta International Airport (MLA), Martinique: Martinique Aimé Césaire International Airport (FDF), Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU), Mexico: Mexico City International Airport (MEX), Moldova: Chișinău International Airport (KIV), Monaco: Nice Côte d'Azur Airport (NCE), Mongolia: Chinggis Khaan International Airport (UBN), Montenegro: Podgorica Airport (TGD), Morocco: Mohammed V International Airport (CMN), Myanmar: Yangon International Airport (RGN), Nepal: Tribhuvan International Airport (KTM), Netherlands: Amsterdam Airport Schiphol (AMS), New Caledonia: La Tontouta International Airport (NOU), New Zealand: Auckland Airport (AKL), Nicaragua: Augusto C. Sandino International Airport (MGA), Nigeria: Murtala Muhammed International Airport (LOS), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Oman: Muscat International Airport (MCT), Pakistan: Jinnah International Airport (KHI), Panama: Tocumen International Airport (PTY), Peru: Jorge Chávez International Airport (LIM), Philippines: Ninoy Aquino International Airport (MNL), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Qatar: Hamad International Airport (DOH), Romania: Henri Coandă International Airport (OTP), Russia: Sheremetyevo International Airport (SVO), Saint Kitts and Nevis: Robert L. Bradshaw International Airport (SKB), Saint Lucia: Hewanorra International Airport (UVF), Saint Martin: Princess Juliana International Airport (SXM), Saint Vincent and the Grenadines: Argyle International Airport (SVD), Saudi Arabia: King Abdulaziz International Airport (JED), Senegal: Blaise Diagne International Airport (DSS), Serbia: Belgrade Nikola Tesla Airport (BEG), Seychelles: Seychelles International Airport (SEZ), Singapore: Singapore Changi Airport (SIN), Slovakia: Bratislava Airport (BTS), Slovenia: Ljubljana Jože Pučnik Airport (LJU), South Africa: O. R. Tambo International Airport (JNB), South Korea: Incheon International Airport (ICN), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sri Lanka: Bandaranaike International Airport (CMB), Suriname: Johan Pengel International Airport (PBM), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Taiwan: Taiwan Taoyuan International Airport (TPE), Tanzania: Julius Nyerere International Airport (DAR), Thailand: Suvarnabhumi Airport (BKK), Trinidad and Tobago: Piarco International Airport (POS), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), Turks and Caicos Islands: Providenciales Airport (PLS), Ukraine: Boryspil International Airport (KBP), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Uruguay: Carrasco International Airport (MVD), Uzbekistan: Tashkent International Airport (TAS), Venezuela: Simón Bolívar International Airport (CCS), Vietnam: Noi Bai International Airport (HAN), Zambia: Kenneth Kaunda International Airport (LUN)"
Canada,WestJet,32,104,"Aruba, Bahamas, Belize, Canada, Cayman Islands, Costa Rica, Dominican Republic, El Salvador, Jamaica, Mexico, Saint Lucia, United States","Aruba: Queen Beatrix International Airport (AUA), Bahamas: Lynden Pindling International Airport (NAS), Belize: Philip S. W. Goldson International Airport (BZE), Canada: Toronto Pearson International Airport (YYZ), Cayman Islands: Owen Roberts International Airport (GCM), Costa Rica: Juan Santamaría International Airport (SJO), Dominican Republic: Las Américas International Airport (SDQ), El Salvador: El Salvador International Airport (SAL), Jamaica: Norman Manley International Airport (KIN), Mexico: Mexico City International Airport (MEX), Saint Lucia: Hewanorra International Airport (UVF), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
China,China Southern Airlines,47,235,"Australia, Cambodia, Canada, China, France, Germany, Hong Kong, Indonesia, Japan, Laos, Macao, Malaysia, Myanmar, Nepal, New Zealand, Oman, Philippines, Saudi Arabia, Seychelles, Singapore, South Korea, Sri Lanka, Taiwan, Thailand, United Arab Emirates, United Kingdom, United States, Vietnam","Australia: Sydney Kingsford Smith Airport (SYD), Cambodia: Phnom Penh International Airport (PNH), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Hong Kong: Hong Kong International Airport (HKG), Indonesia: Soekarno–Hatta International Airport (CGK), Japan: Tokyo Haneda Airport (HND), Laos: Wattay International Airport (VTE), Macao: Macau International Airport (MFM), Malaysia: Kuala Lumpur International Airport (KUL), Myanmar: Yangon International Airport (RGN), Nepal: Tribhuvan International Airport (KTM), New Zealand: Auckland Airport (AKL), Oman: Muscat International Airport (MCT), Philippines: Ninoy Aquino International Airport (MNL), Saudi Arabia: King Abdulaziz International Airport (JED), Seychelles: Seychelles International Airport (SEZ), Singapore: Singapore Changi Airport (SIN), South Korea: Incheon International Airport (ICN), Sri Lanka: Bandaranaike International Airport (CMB), Taiwan: Taiwan Taoyuan International Airport (TPE), Thailand: Suvarnabhumi Airport (BKK), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Vietnam: Noi Bai International Airport (HAN)"
China,Air China,46,203,"Australia, Austria, Belgium, Canada, China, Denmark, France, Germany, Hong Kong, Hungary, India, Indonesia, Ireland, Italy, Japan, Luxembourg, Macao, Malaysia, Mauritius, Nepal, Netherlands, New Zealand, Pakistan, Philippines, Qatar, Singapore, South Korea, Spain, Sri Lanka, Sweden, Switzerland, Taiwan, Thailand, United Arab Emirates, United Kingdom, United States","Australia: Sydney Kingsford Smith Airport (SYD), Austria: Vienna International Airport (VIE), Belgium: Brussels Airport (BRU), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), Denmark: Copenhagen Airport (CPH), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Hong Kong: Hong Kong International Airport (HKG), Hungary: Budapest Ferenc Liszt International Airport (BUD), India: Indira Gandhi International Airport (DEL), Indonesia: Soekarno–Hatta International Airport (CGK), Ireland: Dublin Airport (DUB), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Japan: Tokyo Haneda Airport (HND), Luxembourg: Luxembourg Airport (LUX), Macao: Macau International Airport (MFM), Malaysia: Kuala Lumpur International Airport (KUL), Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU), Nepal: Tribhuvan International Airport (KTM), Netherlands: Amsterdam Airport Schiphol (AMS), New Zealand: Auckland Airport (AKL), Pakistan: Jinnah International Airport (KHI), Philippines: Ninoy Aquino International Airport (MNL), Qatar: Hamad International Airport (DOH), Singapore: Singapore Changi Airport (SIN), South Korea: Incheon International Airport (ICN), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sri Lanka: Bandaranaike International Airport (CMB), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Taiwan: Taiwan Taoyuan International Airport (TPE), Thailand: Suvarnabhumi Airport (BKK), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
China,China Eastern Airlines,37,226,"Australia, Cambodia, Canada, China, France, Germany, Hong Kong, Indonesia, Japan, Macao, Malaysia, Mauritius, Myanmar, Nepal, New Zealand, Philippines, Singapore, South Korea, Sri Lanka, Taiwan, Thailand, United Arab Emirates, United States, Vietnam","Australia: Sydney Kingsford Smith Airport (SYD), Cambodia: Phnom Penh International Airport (PNH), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Hong Kong: Hong Kong International Airport (HKG), Indonesia: Soekarno–Hatta International Airport (CGK), Japan: Tokyo Haneda Airport (HND), Macao: Macau International Airport (MFM), Malaysia: Kuala Lumpur International Airport (KUL), Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU), Myanmar: Yangon International Airport (RGN), Nepal: Tribhuvan International Airport (KTM), New Zealand: Auckland Airport (AKL), Philippines: Ninoy Aquino International Airport (MNL), Singapore: Singapore Changi Airport (SIN), South Korea: Incheon International Airport (ICN), Sri Lanka: Bandaranaike International Airport (CMB), Taiwan: Taiwan Taoyuan International Airport (TPE), Thailand: Suvarnabhumi Airport (BKK), United Arab Emirates: Dubai International Airport (DXB), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Vietnam: Noi Bai International Airport (HAN)"
China,Hainan Airlines,32,104,"Australia, Belgium, Canada, China, France, Germany, Hong Kong, Netherlands, New Zealand, South Korea, United States","Australia: Sydney Kingsford Smith Airport (SYD), Belgium: Brussels Airport (BRU), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Hong Kong: Hong Kong International Airport (HKG), Netherlands: Amsterdam Airport Schiphol (AMS), New Zealand: Auckland Airport (AKL), South Korea: Incheon International Airport (ICN), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Denmark, Norway, Sweden",Scandinavian Airlines,36,125,"Albania, Austria, Bosnia and Herzegovina, Canada, China, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Greece, Hong Kong, Hungary, Iceland, India, Ireland, Israel, Italy, Japan, Latvia, Lithuania, Malta, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Spain, Sweden, Switzerland, Thailand, Turkey, United Kingdom, United States","Albania: Tirana International Airport (TIA), Austria: Vienna International Airport (VIE), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), Croatia: Zagreb Airport (ZAG), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Estonia: Tallinn Airport (TLL), Faroe Islands: Vágar Airport (FAE), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Hong Kong: Hong Kong International Airport (HKG), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iceland: Keflavík International Airport (KEF), India: Indira Gandhi International Airport (DEL), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Japan: Tokyo Haneda Airport (HND), Latvia: Riga International Airport (RIX), Lithuania: Vilnius International Airport (VNO), Malta: Malta International Airport (MLA), Netherlands: Amsterdam Airport Schiphol (AMS), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Romania: Henri Coandă International Airport (OTP), Serbia: Belgrade Nikola Tesla Airport (BEG), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Thailand: Suvarnabhumi Airport (BKK), Turkey: Istanbul Airport (IST), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
