Airport,IATA Code,Unique Airlines
Stockholm Arlanda Airport,ARN,54
Kabul Hamid Karzai International Airport,KBL,2
Tirana International Airport,TIA,38
Houari Boumediene Airport,ALG,11
Andorra–La Seu d'Urgell Airport,LEU,1
Quatro de Fevereiro Airport,LAD,9
Clayton J. Lloyd International Airport,AXA,3
V. C. Bird International Airport,ANU,13
Ministro Pistarini International Airport,EZE,11
Zvartnots International Airport,EVN,27
Queen Beatrix International Airport,AUA,16
Sydney Kingsford Smith Airport,SYD,29
Vienna International Airport,VIE,40
Heydar Aliyev International Airport,GYD,16
Lynden Pindling International Airport,NAS,8
Bahrain International Airport,BAH,24
Shahjalal International Airport,DAC,13
Grantley Adams International Airport,BGI,13
Minsk National Airport,MSQ,7
Brussels Airport,BRU,29
Philip S. W. Goldson International Airport,BZE,6
Cadjehoun Airport,COO,8
L.F. Wade International Airport,BDA,7
El Alto International Airport,LPB,11
Flamingo International Airport,BON,6
Sarajevo International Airport,SJJ,26
Sir Seretse Khama International Airport,GBE,1
São Paulo/Guarulhos International Airport,GRU,26
Terrance B. Lettsome International Airport,EIS,6
Brunei International Airport,BWN,3
Sofia Airport,SOF,35
Thomas Sankara International Airport Ouagadougou,OUA,8
Bujumbura International Airport,BJM,4
Phnom Penh International Airport,PNH,8
Douala International Airport,DLA,5
Toronto Pearson International Airport,YYZ,52
Nelson Mandela International Airport,RAI,9
Owen Roberts International Airport,GCM,8
Bangui M'Poko International Airport,BGF,2
N'Djamena International Airport,NDJ,4
Arturo Merino Benítez International Airport,SCL,11
Beijing Capital International Airport,PEK,40
El Dorado International Airport,BOG,15
Prince Said Ibrahim International Airport,HAH,6
N'djili Airport,FIH,7
Maya-Maya Airport,BZV,4
Juan Santamaría International Airport,SJO,13
Zagreb Airport,ZAG,35
José Martí International Airport,HAV,10
Curaçao International Airport,CUR,14
Larnaca International Airport,LCA,35
Václav Havel Airport Prague,PRG,41
Félix-Houphouët-Boigny International Airport,ABJ,7
Copenhagen Airport,CPH,40
Djibouti–Ambouli International Airport,JIB,8
Douglas–Charles Airport,DOM,3
Las Américas International Airport,SDQ,13
Mariscal Sucre International Airport,UIO,14
Cairo International Airport,CAI,34
El Salvador International Airport,SAL,13
Malabo International Airport,SSG,8
Asmara International Airport,ASM,4
Tallinn Airport,TLL,24
King Mswati III International Airport,SHO,3
Addis Ababa Bole International Airport,ADD,9
Mount Pleasant Airport,MPN,1
Vágar Airport,FAE,3
Nadi International Airport,NAN,2
Helsinki-Vantaa Airport,HEL,40
Paris Charles de Gaulle Airport,CDG,58
Cayenne-Félix Eboué Airport,CAY,8
Faa'a International Airport,PPT,7
Léon-Mba International Airport,LBV,7
Banjul International Airport,BJL,9
Tbilisi International Airport,TBS,15
Frankfurt Airport,FRA,56
Kotoka International Airport,ACC,13
Gibraltar International Airport,GIB,1
Athens International Airport,ATH,51
Kangerlussuaq Airport,SFJ,1
Maurice Bishop International Airport,GND,7
Pointe-à-Pitre International Airport,PTP,2
Antonio B. Won Pat International Airport,GUM,2
La Aurora International Airport,GUA,14
Conakry International Airport,CKY,8
Osvaldo Vieira International Airport,OXB,4
Cheddi Jagan International Airport,GEO,10
Toussaint Louverture International Airport,PAP,11
Toncontín International Airport,TGU,9
Hong Kong International Airport,HKG,34
Budapest Ferenc Liszt International Airport,BUD,40
Keflavík International Airport,KEF,25
Indira Gandhi International Airport,DEL,37
Soekarno–Hatta International Airport,CGK,25
Imam Khomeini International Airport,IKA,11
Baghdad International Airport,BGW,14
Dublin Airport,DUB,43
Ben Gurion Airport,TLV,39
Leonardo da Vinci–Fiumicino Airport,FCO,55
Félix-Houphouët-Boigny International Airport,ABJ,8
Norman Manley International Airport,KIN,14
Tokyo Haneda Airport,HND,34
Queen Alia International Airport,AMM,33
Almaty International Airport,ALA,17
Jomo Kenyatta International Airport,NBO,24
Cassidy International Airport,CXI,1
Pristina International Airport,PRN,7
Kuwait International Airport,KWI,31
Manas International Airport,FRU,7
Wattay International Airport,VTE,5
Riga International Airport,RIX,27
