airport,airport country,airline,Country of Origin
Stockholm Arlanda Airport (ARN)),Sweden,Norwegian Air Sweden,Norway
Kabul Hamid Karzai International Airport (KBL),Afghanistan,Ethiopian Airlines,Ethiopia
Kabul Hamid Karzai International Airport (KBL),Afghanistan,Turkish Airlines,Turkey
Tirana International Airport (TIA),Albania,Aegean Airlines,Greece
Tirana International Airport (TIA),Albania,Air Arabia,United Arab Emirates
Tirana International Airport (TIA),Albania,Air Canada,Canada
Tirana International Airport (TIA),Albania,Air Serbia,Serbia
Tirana International Airport (TIA),Albania,AirBaltic,Latvia
Tirana International Airport (TIA),Albania,Austrian Airlines,Austria
Tirana International Airport (TIA),Albania,British Airways,United Kingdom
Tirana International Airport (TIA),Albania,Brussels Airlines,Belgium
Tirana International Airport (TIA),Albania,Delta Air Lines,United States
Tirana International Airport (TIA),Albania,EasyJet,United Kingdom
Tirana International Airport (TIA),Albania,EgyptAir,Egypt
Tirana International Airport (TIA),Albania,Emirates,United Arab Emirates
Tirana International Airport (TIA),Albania,Ethiopian Airlines,Ethiopia
Tirana International Airport (TIA),Albania,Etihad,United Arab Emirates
Tirana International Airport (TIA),Albania,Eurowings,Germany
Tirana International Airport (TIA),Albania,Finnair,Finland
Tirana International Airport (TIA),Albania,Flydubai,United Arab Emirates
Tirana International Airport (TIA),Albania,LOT Polish Airlines,Poland
Tirana International Airport (TIA),Albania,Lufthansa,Germany
Tirana International Airport (TIA),Albania,Luxair,Luxembourg
Tirana International Airport (TIA),Albania,Norwegian Air Shuttle,Norway
Tirana International Airport (TIA),Albania,Pegasus Airlines,Turkey
Tirana International Airport (TIA),Albania,Qatar Airways,Qatar
Tirana International Airport (TIA),Albania,Royal Jordanian,Jordan
Tirana International Airport (TIA),Albania,Ryanair,Ireland
Tirana International Airport (TIA),Albania,Saudia,Saudi Arabia
Tirana International Airport (TIA),Albania,Scandinavian Airlines,"Denmark, Norway, Sweden"
Tirana International Airport (TIA),Albania,SunExpress,Germany
Tirana International Airport (TIA),Albania,Swiss,Switzerland
Tirana International Airport (TIA),Albania,Transavia France,France
Tirana International Airport (TIA),Albania,United Airlines,United States
Tirana International Airport (TIA),Albania,Wizz Air,Hungary
Houari Boumediene Airport (ALG),Algeria,Air Canada,Canada
Houari Boumediene Airport (ALG),Algeria,Air France,France
Houari Boumediene Airport (ALG),Algeria,British Airways,United Kingdom
