"Country","Airline","Country of Origin","Main Airports in country"
"Albania","Austrian Airlines","Austria","Albania: Tirana International Airport (TIA)"
"Armenia","Austrian Airlines","Austria","Armenia: Zvartnots International Airport (EVN)"
"Azerbaijan","Austrian Airlines","Austria","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahrain","Austrian Airlines","Austria","Bahrain: Bahrain International Airport (BAH)"
"Belarus","Austrian Airlines","Austria","Belarus: Minsk National Airport (MSQ)"
"Bosnia and Herzegovina","Austrian Airlines","Austria","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","Austrian Airlines","Austria","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Bulgaria","Austrian Airlines","Austria","Bulgaria: Sofia Airport (SOF)"
"Canada","Austrian Airlines","Austria","Canada: Toronto Pearson International Airport (YYZ)"
"China","Austrian Airlines","Austria","China: Beijing Capital International Airport (PEK)"
"Croatia","Austrian Airlines","Austria","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Austrian Airlines","Austria","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Austrian Airlines","Austria","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Austrian Airlines","Austria","Denmark: Copenhagen Airport (CPH)"
"Egypt","Austrian Airlines","Austria","Egypt: Cairo International Airport (CAI)"
"Estonia","Austrian Airlines","Austria","Estonia: Tallinn Airport (TLL)"
"Finland","Austrian Airlines","Austria","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Austrian Airlines","Austria","France: Paris Charles de Gaulle Airport (CDG)"
"Georgia","Austrian Airlines","Austria","Georgia: Tbilisi International Airport (TBS)"
"Germany","Austrian Airlines","Austria","Germany: Frankfurt Airport (FRA)"
"Ghana","Austrian Airlines","Austria","Ghana: Kotoka International Airport (ACC)"
"Greece","Austrian Airlines","Austria","Greece: Athens International Airport (ATH)"
"Hong Kong","Austrian Airlines","Austria","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Austrian Airlines","Austria","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Austrian Airlines","Austria","Iceland: Keflavík International Airport (KEF)"
"India","Austrian Airlines","Austria","India: Indira Gandhi International Airport (DEL)"
"Iran","Austrian Airlines","Austria","Iran: Imam Khomeini International Airport (IKA)"
"Ireland","Austrian Airlines","Austria","Ireland: Dublin Airport (DUB)"
"Israel","Austrian Airlines","Austria","Israel: Ben Gurion Airport (TLV)"
"Italy","Austrian Airlines","Austria","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Austrian Airlines","Austria","Japan: Tokyo Haneda Airport (HND)"
"Jordan","Austrian Airlines","Austria","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Austrian Airlines","Austria","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","Austrian Airlines","Austria","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","Austrian Airlines","Austria","Kuwait: Kuwait International Airport (KWI)"
"Latvia","Austrian Airlines","Austria","Latvia: Riga International Airport (RIX)"
"Lebanon","Austrian Airlines","Austria","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Lithuania","Austrian Airlines","Austria","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","Austrian Airlines","Austria","Luxembourg: Luxembourg Airport (LUX)"
"Malta","Austrian Airlines","Austria","Malta: Malta International Airport (MLA)"
"Mexico","Austrian Airlines","Austria","Mexico: Mexico City International Airport (MEX)"
"Moldova","Austrian Airlines","Austria","Moldova: Chișinău International Airport (RMO)"
"Montenegro","Austrian Airlines","Austria","Montenegro: Podgorica Airport (TGD)"
"Morocco","Austrian Airlines","Austria","Morocco: Mohammed V International Airport (CMN)"
"Netherlands","Austrian Airlines","Austria","Netherlands: Amsterdam Airport Schiphol (AMS)"
"Nigeria","Austrian Airlines","Austria","Nigeria: Murtala Muhammed International Airport (LOS)"
"North Macedonia","Austrian Airlines","Austria","North Macedonia: Skopje International Airport (SKP)"
"Norway","Austrian Airlines","Austria","Norway: Oslo Airport"
"Oman","Austrian Airlines","Austria","Oman: Muscat International Airport (MCT)"
"Poland","Austrian Airlines","Austria","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Austrian Airlines","Austria","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Austrian Airlines","Austria","Qatar: Hamad International Airport (DOH)"
"Romania","Austrian Airlines","Austria","Romania: Henri Coandă International Airport (OTP)"
"Russia","Austrian Airlines","Austria","Russia: Sheremetyevo International Airport (SVO)"
"Saudi Arabia","Austrian Airlines","Austria","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Serbia","Austrian Airlines","Austria","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","Austrian Airlines","Austria","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","Austrian Airlines","Austria","Singapore: Singapore Changi Airport (SIN)"
"Slovakia","Austrian Airlines","Austria","Slovakia: Bratislava Airport (BTS)"
"Slovenia","Austrian Airlines","Austria","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"South Africa","Austrian Airlines","Austria","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Austrian Airlines","Austria","South Korea: Incheon International Airport (ICN)"
