topic,url,title,notes
Thoughts,https://www.foodstar.com.au/re-news-com-au/,RE-News.com.au,
Thoughts,https://www.foodstar.com.au/thank-you-to-all-the-islander-families/,Thank-you to all the Islander families,
Thoughts,https://www.foodstar.com.au/anthems-of-2025/,Anthems of 2025,
AsiaPacific,https://www.foodstar.com.au/endometriosis-why-do-you-never-hear-asian-black-women-talk-about-it/,Endometriosis – why do you never hear Asian / Black women talk about it?,
AU-Politics,https://www.foodstar.com.au/liberal-mainstream-media-is-relying-on-the-matildas-to-remain-relevant-because-tv-ratings-are-tanking-no1-wants-to-watch-their-gabbage/,Liberal-mainstream-media is relying on the Matildas to remain relevant because TV ratings are tanking – no1 wants to watch their gabbage,
Americas,https://www.foodstar.com.au/laos-is-a-beautiful-country-that-the-us-rolled-by-dropping-3100000000-bombs-no-error-in-operation-barrel-roll-thats-more-than-1000-bombs-for-every-person/,Laos is a beautiful country that the US rolled by dropping 3 100 000 000 bombs – no error in Operation Barrel Roll – that’s more than 1000 bombs for every person,
Americas,https://www.foodstar.com.au/the-percentage-of-americans-who-have-traveled-outside-of-north-america-is-estimated-to-be-around-15-20-of-the-population-80-85-of-americans-just-dont-give-fck-about-ukr-aus-eu-china/,The percentage of Americans who have travelled outside of North America is estimated to be around 15-20 % of the population – 80-85 % of Americans just don’t give fck about UKR / AUS / EU / China,
Americas,https://www.foodstar.com.au/us-space-program-suffered-two-failures-in-one-day/,US space program suffered two failures in one day,
Thoughts,https://www.foodstar.com.au/6-interest-rates-to-curb-high-inflation-but-why-do-rates-keep-up-while-we-never-raise-wages-to-match-inflation-dont-ask-too-many-questions/,6 % interest-rates to curb high inflation – but why do rates keep up while we never raise wages to match inflation? Don’t ask too many questions,
Thoughts,https://www.foodstar.com.au/qld-is-flooded-mother-nature-is-speed-building-the-bradfield-channel-lucky-country-stylez/,QLD is flooded – Mother Nature is speed-building the Bradfield Channel – Lucky-Country stylez,
Thoughts,https://www.foodstar.com.au/qld-flood-victims-might-consider-the-byd-yangwang-u8-capable-of-transforming-into-a-boat-like-vehicle-during-floods/,QLD flood victims might consider the BYD YangWang U8 – capable of transforming into a boat-like vehicle during floods,
