Company,Ticker,Full Name,Market Cap,Market Cap Numeric,Rank,Date
Nvidia,NVDA,"NVIDIA
NVDA",$4.45 T,4450000000000.0,1,2026-03-06
Apple,AAPL,"Apple
AAPL",$3.82 T,3820000000000.0,2,2026-03-06
Alphabet,GOOG,"Alphabet (Google)
GOOG",$3.64 T,3640000000000.0,3,2026-03-06
Microsoft,MSFT,"Microsoft
MSFT",$3.05 T,3050000000000.0,4,2026-03-06
Amazon / AWS,AMZN,"Amazon
AMZN",$2.35 T,2350000000000.0,5,2026-03-06
Meta,META,"Meta Platforms
META",$1.67 T,1670000000000.0,6,2026-03-06
Broadcom,AVGO,"Broadcom
AVGO",$1.58 T,1580000000000.0,7,2026-03-06
Tesla,TSLA,"Tesla
TSLA",$1.52 T,1520000000000.0,8,2026-03-06
JPMorgan Chase,JPM,"JPMorgan Chase
JPM",$791.71 B,791710000000.0,12,2026-03-06
Oracle,ORCL,"Oracle
ORCL",$444.88 B,444880000000.0,18,2026-03-06
Netflix,NFLX,"Netflix
NFLX",$418.71 B,418710000000.0,20,2026-03-06
Palantir,PLTR,"Palantir Technologies
PLTR",$365.14 B,365140000000.0,23,2026-03-06
General Electric,GE,"General Electric
GE",$342.95 B,342950000000.0,27,2026-03-06
AMD,AMD,"Advanced Micro Devices
AMD",$325.19 B,325190000000.0,30,2026-03-06
Cisco Systems,CSCO,"Cisco Systems
CSCO",$316.03 B,316030000000.0,31,2026-03-06
RTX (Raytheon),RTX,"RTX
RTX",$273.64 B,273640000000.0,34,2026-03-06
Goldman Sachs,GS,"The Goldman Sachs Group
GS",$257.61 B,257610000000.0,39,2026-03-06
Intel,INTC,"Intel
INTC",$229.53 B,229530000000.0,44,2026-03-06
